f1(x)=0.704939   f2(x)=1.418563
f1(x)=0.766548   f2(x)=1.304551
f1(x)=0.390033   f2(x)=8.971469
f1(x)=0.999999   f2(x)=1.000002
f1(x)=0.983609   f2(x)=1.016665
f1(x)=0.959191   f2(x)=1.043492
f1(x)=0.786426   f2(x)=1.271576
f1(x)=0.495404   f2(x)=5.173347
f1(x)=0.528972   f2(x)=4.243427
f1(x)=0.736494   f2(x)=1.357785
f1(x)=0.486800   f2(x)=5.387531
f1(x)=0.400619   f2(x)=8.525474
f1(x)=0.831913   f2(x)=1.202051
f1(x)=0.470440   f2(x)=5.893290
f1(x)=0.932310   f2(x)=1.072606
f1(x)=0.816541   f2(x)=1.224679
f1(x)=0.396266   f2(x)=8.722904
f1(x)=0.454358   f2(x)=6.431413
f1(x)=0.476498   f2(x)=5.696000
f1(x)=0.403464   f2(x)=8.365827
f1(x)=0.406672   f2(x)=8.213352
f1(x)=0.507711   f2(x)=4.827309
f1(x)=0.948966   f2(x)=1.053779
f1(x)=0.657296   f2(x)=1.674957
f1(x)=0.887135   f2(x)=1.127226
f1(x)=0.536606   f2(x)=4.059675
f1(x)=0.449512   f2(x)=6.582406
f1(x)=0.525378   f2(x)=4.370158
f1(x)=0.431793   f2(x)=7.294261
f1(x)=0.650291   f2(x)=1.783487
f1(x)=0.586840   f2(x)=2.932572
f1(x)=0.503096   f2(x)=4.953645
f1(x)=0.417546   f2(x)=7.769383
f1(x)=0.512074   f2(x)=4.687964
f1(x)=0.458084   f2(x)=6.286909
f1(x)=0.629636   f2(x)=2.153093
f1(x)=0.597796   f2(x)=2.734592
f1(x)=0.591612   f2(x)=2.839042
f1(x)=0.869320   f2(x)=1.150325
f1(x)=0.519749   f2(x)=4.489031
f1(x)=0.420903   f2(x)=7.651674
f1(x)=0.411645   f2(x)=8.087418
f1(x)=0.850434   f2(x)=1.175872
f1(x)=0.393154   f2(x)=8.835926
f1(x)=0.426910   f2(x)=7.408457
f1(x)=0.443114   f2(x)=6.821392
f1(x)=0.689083   f2(x)=1.452626
f1(x)=0.616059   f2(x)=2.380434
f1(x)=0.446410   f2(x)=6.701666
f1(x)=0.425105   f2(x)=7.533565
f1(x)=0.498554   f2(x)=5.066526
f1(x)=0.544849   f2(x)=3.924073
f1(x)=0.749887   f2(x)=1.338861
f1(x)=0.611467   f2(x)=2.474676
f1(x)=0.479727   f2(x)=5.611261
f1(x)=0.484375   f2(x)=5.480929
f1(x)=0.436287   f2(x)=7.167184
f1(x)=0.550130   f2(x)=3.825635
f1(x)=0.683547   f2(x)=1.462958
f1(x)=0.439645   f2(x)=6.938267
f1(x)=0.663146   f2(x)=1.571148
f1(x)=0.581419   f2(x)=3.064890
f1(x)=0.468339   f2(x)=6.014731
f1(x)=0.515968   f2(x)=4.586444
f1(x)=0.575636   f2(x)=3.236058
f1(x)=0.719193   f2(x)=1.390449
f1(x)=0.569801   f2(x)=3.307667
f1(x)=0.557864   f2(x)=3.557695
f1(x)=0.608523   f2(x)=2.600191
f1(x)=0.551664   f2(x)=3.701474
f1(x)=0.603039   f2(x)=2.646918
f1(x)=0.436755   f2(x)=7.044814
f1(x)=0.846265   f2(x)=1.181664
f1(x)=0.563278   f2(x)=3.433048
f1(x)=0.634659   f2(x)=2.062186
f1(x)=0.644586   f2(x)=1.869973
f1(x)=0.802907   f2(x)=1.245475
f1(x)=0.873981   f2(x)=1.144191
f1(x)=0.463048   f2(x)=6.199073
f1(x)=0.464609   f2(x)=6.116912
f1(x)=0.414108   f2(x)=7.914261
f1(x)=0.668712   f2(x)=1.495414
f1(x)=0.915374   f2(x)=1.092451
f1(x)=0.578512   f2(x)=3.126966
f1(x)=0.540396   f2(x)=4.018055
f1(x)=0.798973   f2(x)=1.251608
f1(x)=0.919206   f2(x)=1.087897
f1(x)=0.624499   f2(x)=2.271023
f1(x)=0.999664   f2(x)=1.000337
f1(x)=0.638372   f2(x)=2.004900
f1(x)=0.556739   f2(x)=3.634577
f1(x)=0.621238   f2(x)=2.279333
f1(x)=0.901880   f2(x)=1.108796
f1(x)=0.643967   f2(x)=1.958128
f1(x)=0.717047   f2(x)=1.394610
f1(x)=0.900202   f2(x)=1.110863
f1(x)=0.567763   f2(x)=3.423859
f1(x)=0.413296   f2(x)=7.966105
f1(x)=0.757948   f2(x)=1.319353
f1(x)=0.667221   f2(x)=1.498754
