f1(x)=168.797757   f2(x)=-168.933635
f1(x)=136.414999   f2(x)=-136.606995
f1(x)=10.196698   f2(x)=0.728878
f1(x)=221.188506   f2(x)=-217.581175
f1(x)=197.538469   f2(x)=-197.741970
f1(x)=20.369655   f2(x)=-20.253968
f1(x)=116.299920   f2(x)=-116.529545
f1(x)=11.899475   f2(x)=-6.643734
f1(x)=120.895119   f2(x)=-119.407579
f1(x)=108.199431   f2(x)=-106.776596
f1(x)=152.253097   f2(x)=-151.522263
f1(x)=103.571140   f2(x)=-103.271176
f1(x)=147.930847   f2(x)=-148.176402
f1(x)=183.371365   f2(x)=-183.610110
f1(x)=202.498046   f2(x)=-202.658987
f1(x)=58.998873   f2(x)=-59.225217
f1(x)=24.258862   f2(x)=-24.441458
f1(x)=11.229590   f2(x)=-2.699926
f1(x)=194.852044   f2(x)=-194.665030
f1(x)=172.941966   f2(x)=-173.187649
f1(x)=212.598947   f2(x)=-211.739290
f1(x)=110.580931   f2(x)=-110.823603
f1(x)=87.670648   f2(x)=-87.559078
f1(x)=205.696047   f2(x)=-205.856019
f1(x)=171.087399   f2(x)=-171.060335
f1(x)=14.461783   f2(x)=-12.023314
f1(x)=94.796737   f2(x)=-94.958207
f1(x)=126.283225   f2(x)=-126.532824
f1(x)=180.202492   f2(x)=-180.416468
f1(x)=185.488279   f2(x)=-185.639291
f1(x)=207.532322   f2(x)=-207.781421
f1(x)=138.796415   f2(x)=-139.017660
f1(x)=156.653422   f2(x)=-156.449759
f1(x)=135.022847   f2(x)=-134.761440
f1(x)=18.748774   f2(x)=-17.320879
f1(x)=214.505967   f2(x)=-214.256207
f1(x)=175.368653   f2(x)=-175.568680
f1(x)=77.565525   f2(x)=-77.732294
f1(x)=16.465963   f2(x)=-15.234648
f1(x)=55.689880   f2(x)=-54.741908
f1(x)=74.274304   f2(x)=-74.504108
f1(x)=115.665137   f2(x)=-112.025478
f1(x)=146.516699   f2(x)=-146.755559
f1(x)=31.925813   f2(x)=-31.732359
f1(x)=39.296825   f2(x)=-39.441950
f1(x)=153.734254   f2(x)=-153.631670
f1(x)=124.150619   f2(x)=-124.342159
f1(x)=109.681984   f2(x)=-107.715213
f1(x)=114.250142   f2(x)=-111.797335
f1(x)=62.809490   f2(x)=-63.059404
f1(x)=187.855421   f2(x)=-186.596308
f1(x)=91.789986   f2(x)=-91.983908
f1(x)=129.972071   f2(x)=-130.191879
f1(x)=122.110577   f2(x)=-121.846203
f1(x)=80.149476   f2(x)=-80.388885
f1(x)=92.755919   f2(x)=-92.969013
f1(x)=68.336734   f2(x)=-68.422098
f1(x)=131.942926   f2(x)=-132.182445
f1(x)=203.310685   f2(x)=-203.526662
f1(x)=132.870382   f2(x)=-133.024254
f1(x)=217.902199   f2(x)=-216.453833
f1(x)=69.551129   f2(x)=-69.755952
f1(x)=84.885100   f2(x)=-85.122442
f1(x)=141.928106   f2(x)=-141.934367
f1(x)=66.768472   f2(x)=-66.620181
f1(x)=143.965176   f2(x)=-144.177637
f1(x)=102.221059   f2(x)=-102.243729
f1(x)=73.389312   f2(x)=-72.247224
f1(x)=190.883000   f2(x)=-191.122971
f1(x)=210.068940   f2(x)=-209.938909
f1(x)=64.533595   f2(x)=-64.591755
f1(x)=35.725120   f2(x)=-35.862050
f1(x)=43.953613   f2(x)=-44.155889
f1(x)=42.148442   f2(x)=-42.290385
f1(x)=14.558081   f2(x)=-12.138587
f1(x)=29.564318   f2(x)=-29.717858
f1(x)=56.497923   f2(x)=-56.706160
f1(x)=161.958560   f2(x)=-161.989335
f1(x)=89.693520   f2(x)=-89.893750
f1(x)=36.850426   f2(x)=-37.090078
f1(x)=27.207767   f2(x)=-27.423815
f1(x)=144.587951   f2(x)=-144.803932
f1(x)=47.969830   f2(x)=-48.197183
f1(x)=163.285513   f2(x)=-163.486255
f1(x)=82.180939   f2(x)=-82.430804
f1(x)=193.125920   f2(x)=-193.346891
f1(x)=100.586447   f2(x)=-100.772697
f1(x)=34.079995   f2(x)=-34.171222
f1(x)=136.636279   f2(x)=-136.874463
f1(x)=140.214632   f2(x)=-140.434257
f1(x)=61.198177   f2(x)=-61.447784
f1(x)=189.611163   f2(x)=-189.498176
f1(x)=209.406024   f2(x)=-209.587207
f1(x)=189.408556   f2(x)=-187.855758
f1(x)=160.695293   f2(x)=-160.910867
f1(x)=127.895784   f2(x)=-128.136463
f1(x)=123.082118   f2(x)=-123.294284
f1(x)=192.133841   f2(x)=-192.376208
f1(x)=215.847992   f2(x)=-215.459684
f1(x)=25.083283   f2(x)=-25.323175
