f1(x)=0.779110   f2(x)=0.553217
f1(x)=0.962692   f2(x)=0.137188
f1(x)=0.068430   f2(x)=1.028588
f1(x)=1.041506   f2(x)=0.053586
f1(x)=0.199384   f2(x)=0.929575
f1(x)=0.448420   f2(x)=0.927970
f1(x)=0.926891   f2(x)=0.448457
f1(x)=0.929304   f2(x)=0.199924
f1(x)=0.773134   f2(x)=0.617108
f1(x)=0.772434   f2(x)=0.673277
f1(x)=0.491222   f2(x)=0.839845
f1(x)=0.626904   f2(x)=0.773117
f1(x)=0.480770   f2(x)=0.861153
f1(x)=0.891513   f2(x)=0.472999
f1(x)=0.995886   f2(x)=0.100309
f1(x)=0.496578   f2(x)=0.825896
f1(x)=0.092351   f2(x)=1.006476
f1(x)=0.983754   f2(x)=0.109950
f1(x)=0.591952   f2(x)=0.773477
f1(x)=0.508697   f2(x)=0.817563
f1(x)=0.130996   f2(x)=0.967411
f1(x)=0.773238   f2(x)=0.595823
f1(x)=0.573537   f2(x)=0.774654
f1(x)=0.857055   f2(x)=0.484184
f1(x)=0.724966   f2(x)=0.755134
f1(x)=0.529556   f2(x)=0.791059
f1(x)=0.757240   f2(x)=0.720168
f1(x)=0.763054   f2(x)=0.709480
f1(x)=0.115493   f2(x)=0.980240
f1(x)=0.641366   f2(x)=0.772909
f1(x)=0.517013   f2(x)=0.797265
f1(x)=0.102494   f2(x)=0.993756
f1(x)=0.943243   f2(x)=0.155412
f1(x)=0.869452   f2(x)=0.478215
f1(x)=0.179256   f2(x)=0.932311
f1(x)=1.007117   f2(x)=0.091633
f1(x)=0.475068   f2(x)=0.884537
f1(x)=0.775752   f2(x)=0.566844
f1(x)=1.017379   f2(x)=0.074341
f1(x)=0.658167   f2(x)=0.772659
f1(x)=0.713990   f2(x)=0.761685
f1(x)=0.899270   f2(x)=0.463751
f1(x)=0.920873   f2(x)=0.456420
f1(x)=0.082762   f2(x)=1.013604
f1(x)=0.704328   f2(x)=0.764662
f1(x)=0.769080   f2(x)=0.686265
f1(x)=0.691339   f2(x)=0.768490
f1(x)=0.073886   f2(x)=1.017905
f1(x)=0.767120   f2(x)=0.697450
f1(x)=0.842834   f2(x)=0.488951
f1(x)=0.475999   f2(x)=0.872370
f1(x)=0.907974   f2(x)=0.459461
f1(x)=0.978271   f2(x)=0.120538
f1(x)=0.511476   f2(x)=0.804574
f1(x)=0.125083   f2(x)=0.975636
f1(x)=0.459656   f2(x)=0.912051
f1(x)=0.824972   f2(x)=0.497357
f1(x)=0.467558   f2(x)=0.894658
f1(x)=1.009936   f2(x)=0.083364
f1(x)=0.453589   f2(x)=0.918909
f1(x)=0.552930   f2(x)=0.780085
f1(x)=0.139493   f2(x)=0.956105
f1(x)=0.969488   f2(x)=0.124513
f1(x)=0.108402   f2(x)=0.991121
f1(x)=0.742084   f2(x)=0.747126
f1(x)=0.952395   f2(x)=0.149156
f1(x)=0.835473   f2(x)=0.491759
f1(x)=0.791045   f2(x)=0.524015
f1(x)=0.560345   f2(x)=0.776627
f1(x)=0.747783   f2(x)=0.736102
f1(x)=0.816922   f2(x)=0.501252
f1(x)=0.751502   f2(x)=0.730529
f1(x)=0.464442   f2(x)=0.901608
f1(x)=0.797675   f2(x)=0.518209
f1(x)=0.937405   f2(x)=0.165485
f1(x)=0.739443   f2(x)=0.754268
f1(x)=0.670007   f2(x)=0.771299
f1(x)=0.935028   f2(x)=0.182286
f1(x)=0.164983   f2(x)=0.941527
f1(x)=0.680457   f2(x)=0.770205
f1(x)=0.148918   f2(x)=0.947823
f1(x)=0.174728   f2(x)=0.935979
f1(x)=0.808844   f2(x)=0.507119
f1(x)=0.930730   f2(x)=0.192747
f1(x)=1.023866   f2(x)=0.066988
f1(x)=0.158122   f2(x)=0.943851
f1(x)=0.956197   f2(x)=0.141901
f1(x)=0.803587   f2(x)=0.511283
f1(x)=1.037190   f2(x)=0.059269
f1(x)=1.030340   f2(x)=0.064251
f1(x)=0.785894   f2(x)=0.532550
f1(x)=0.782858   f2(x)=0.548943
f1(x)=0.540235   f2(x)=0.783366
f1(x)=0.590936   f2(x)=0.773840
f1(x)=0.963242   f2(x)=0.132029
f1(x)=0.784772   f2(x)=0.538380
f1(x)=0.775736   f2(x)=0.580212
f1(x)=0.935540   f2(x)=0.172982
f1(x)=0.536250   f2(x)=0.783765
f1(x)=0.868127   f2(x)=0.480864
