f1(x)=0.879166   f4(x)=0.104788
f1(x)=0.798005   f4(x)=1.095841
f1(x)=0.891946   f4(x)=0.066840
f1(x)=0.844766   f4(x)=0.292502
f1(x)=0.929274   f4(x)=0.033265
f1(x)=0.808505   f4(x)=1.184591
f1(x)=0.918130   f4(x)=0.030626
f1(x)=0.798021   f4(x)=1.096028
f1(x)=0.918275   f4(x)=0.030659
f1(x)=0.922491   f4(x)=0.040542
f1(x)=0.864352   f4(x)=0.169495
f1(x)=0.868775   f4(x)=0.134086
f1(x)=0.819103   f4(x)=0.585125
f1(x)=0.817807   f4(x)=0.607644
f1(x)=0.811335   f4(x)=0.736818
f1(x)=0.888341   f4(x)=0.074369
f1(x)=0.801093   f4(x)=1.069662
f1(x)=0.821541   f4(x)=0.543856
f1(x)=0.822399   f4(x)=0.534129
f1(x)=0.901840   f4(x)=0.049808
f1(x)=0.913102   f4(x)=0.052394
f1(x)=0.800762   f4(x)=1.009507
f1(x)=0.862245   f4(x)=0.248204
f1(x)=0.850778   f4(x)=0.227639
f1(x)=0.851485   f4(x)=0.222896
f1(x)=0.895306   f4(x)=0.095345
f1(x)=0.841523   f4(x)=0.301485
f1(x)=0.855035   f4(x)=0.200548
f1(x)=0.860070   f4(x)=0.263642
f1(x)=0.854434   f4(x)=0.207228
f1(x)=0.906805   f4(x)=0.064850
f1(x)=0.821565   f4(x)=0.635791
f1(x)=0.814069   f4(x)=0.708235
f1(x)=0.865389   f4(x)=0.148609
f1(x)=0.815285   f4(x)=0.655041
f1(x)=0.809142   f4(x)=0.842119
f1(x)=0.918959   f4(x)=0.036995
f1(x)=0.837143   f4(x)=0.402476
f1(x)=0.812975   f4(x)=0.705266
f1(x)=0.876686   f4(x)=0.105230
f1(x)=0.814562   f4(x)=0.671327
f1(x)=0.809869   f4(x)=0.825357
f1(x)=0.858110   f4(x)=0.182976
f1(x)=0.806952   f4(x)=0.936771
f1(x)=0.815406   f4(x)=0.788354
f1(x)=0.813019   f4(x)=1.087922
f1(x)=0.828881   f4(x)=0.469327
f1(x)=0.825305   f4(x)=0.508232
f1(x)=0.812154   f4(x)=0.754080
f1(x)=0.865738   f4(x)=0.147125
f1(x)=0.838368   f4(x)=0.338977
f1(x)=0.886605   f4(x)=0.121802
f1(x)=0.819371   f4(x)=0.885204
f1(x)=0.903862   f4(x)=0.046870
f1(x)=0.818517   f4(x)=0.878028
f1(x)=0.859633   f4(x)=0.174947
f1(x)=0.799838   f4(x)=1.110846
f1(x)=0.880106   f4(x)=0.095095
f1(x)=0.806390   f4(x)=0.891114
f1(x)=0.909357   f4(x)=0.040404
f1(x)=0.847288   f4(x)=0.363845
f1(x)=0.801826   f4(x)=0.989865
f1(x)=0.917123   f4(x)=0.037294
f1(x)=0.808636   f4(x)=0.798988
f1(x)=0.837576   f4(x)=0.339693
f1(x)=0.812650   f4(x)=1.083015
f1(x)=0.906278   f4(x)=0.055976
f1(x)=0.816243   f4(x)=0.772686
f1(x)=0.885013   f4(x)=0.124044
f1(x)=0.816503   f4(x)=0.969748
f1(x)=0.833232   f4(x)=0.490792
f1(x)=0.804550   f4(x)=1.150350
f1(x)=0.842225   f4(x)=0.315843
f1(x)=0.911023   f4(x)=0.055969
f1(x)=0.898555   f4(x)=0.058814
f1(x)=0.810313   f4(x)=0.766010
f1(x)=0.835645   f4(x)=0.374300
f1(x)=0.883010   f4(x)=0.138744
f1(x)=0.805413   f4(x)=0.922057
f1(x)=0.906708   f4(x)=0.043038
f1(x)=0.887034   f4(x)=0.091548
f1(x)=0.856388   f4(x)=0.213338
f1(x)=0.839185   f4(x)=0.508297
f1(x)=0.840013   f4(x)=0.494880
f1(x)=0.918539   f4(x)=0.032808
f1(x)=0.842472   f4(x)=0.366523
f1(x)=0.833773   f4(x)=0.451775
f1(x)=0.830529   f4(x)=0.418438
f1(x)=0.838892   f4(x)=0.487502
f1(x)=0.845722   f4(x)=0.319563
f1(x)=0.812412   f4(x)=0.747541
f1(x)=0.810695   f4(x)=1.151344
f1(x)=0.806119   f4(x)=0.871365
f1(x)=0.852385   f4(x)=0.337653
f1(x)=0.843034   f4(x)=0.427229
f1(x)=0.813776   f4(x)=1.101730
f1(x)=0.802711   f4(x)=1.131586
f1(x)=0.860941   f4(x)=0.181029
f1(x)=0.831141   f4(x)=0.452214
f1(x)=0.802790   f4(x)=0.962718
