f1(x)=0.783270   f2(x)=0.443176
f1(x)=0.570285   f2(x)=0.695922
f1(x)=0.003215   f2(x)=0.977306
f1(x)=0.980752   f2(x)=0.006544
f1(x)=0.136940   f2(x)=0.929329
f1(x)=0.595649   f2(x)=0.667894
f1(x)=0.758603   f2(x)=0.485577
f1(x)=0.423585   f2(x)=0.795406
f1(x)=0.613965   f2(x)=0.650900
f1(x)=0.497789   f2(x)=0.746600
f1(x)=0.516401   f2(x)=0.734043
f1(x)=0.074393   f2(x)=0.951197
f1(x)=0.769990   f2(x)=0.466297
f1(x)=0.875479   f2(x)=0.267812
f1(x)=0.152640   f2(x)=0.922402
f1(x)=0.955845   f2(x)=0.058867
f1(x)=0.945655   f2(x)=0.083188
f1(x)=0.908259   f2(x)=0.200848
f1(x)=0.109620   f2(x)=0.939412
f1(x)=0.049501   f2(x)=0.958094
f1(x)=0.711854   f2(x)=0.545365
f1(x)=0.867256   f2(x)=0.285211
f1(x)=0.798891   f2(x)=0.419050
f1(x)=0.306695   f2(x)=0.859691
f1(x)=0.922534   f2(x)=0.152088
f1(x)=0.846671   f2(x)=0.332533
f1(x)=0.929774   f2(x)=0.134982
f1(x)=0.739826   f2(x)=0.507867
f1(x)=0.644421   f2(x)=0.622211
f1(x)=0.968658   f2(x)=0.033076
f1(x)=0.900247   f2(x)=0.214837
f1(x)=0.234966   f2(x)=0.891758
f1(x)=0.631612   f2(x)=0.635101
f1(x)=0.391860   f2(x)=0.813461
f1(x)=0.839841   f2(x)=0.347297
f1(x)=0.831517   f2(x)=0.359512
f1(x)=0.911784   f2(x)=0.179403
f1(x)=0.730987   f2(x)=0.523450
f1(x)=0.171277   f2(x)=0.914992
f1(x)=0.747965   f2(x)=0.495485
f1(x)=0.722529   f2(x)=0.532391
f1(x)=0.215587   f2(x)=0.897262
f1(x)=0.824595   f2(x)=0.374157
f1(x)=0.701294   f2(x)=0.557928
f1(x)=0.791685   f2(x)=0.433590
f1(x)=0.486764   f2(x)=0.754726
f1(x)=0.038042   f2(x)=0.961786
f1(x)=0.339158   f2(x)=0.844552
f1(x)=0.970762   f2(x)=0.015956
f1(x)=0.957979   f2(x)=0.047167
f1(x)=0.943960   f2(x)=0.094333
f1(x)=0.883401   f2(x)=0.252327
f1(x)=0.916158   f2(x)=0.166744
f1(x)=0.855092   f2(x)=0.317273
f1(x)=0.554293   f2(x)=0.705197
f1(x)=0.289029   f2(x)=0.867864
f1(x)=0.476363   f2(x)=0.764775
f1(x)=0.087741   f2(x)=0.946794
f1(x)=0.270364   f2(x)=0.875891
f1(x)=0.527545   f2(x)=0.726168
f1(x)=0.776956   f2(x)=0.454562
f1(x)=0.693429   f2(x)=0.566999
f1(x)=0.678576   f2(x)=0.586477
f1(x)=0.537855   f2(x)=0.718897
f1(x)=0.686965   f2(x)=0.579250
f1(x)=0.939524   f2(x)=0.115352
f1(x)=0.444653   f2(x)=0.786592
f1(x)=0.621681   f2(x)=0.643273
f1(x)=0.376562   f2(x)=0.821811
f1(x)=0.655510   f2(x)=0.614092
f1(x)=0.817262   f2(x)=0.385896
f1(x)=0.254290   f2(x)=0.882629
f1(x)=0.887635   f2(x)=0.241648
f1(x)=0.204376   f2(x)=0.902013
f1(x)=0.362519   f2(x)=0.837294
f1(x)=0.193658   f2(x)=0.907137
f1(x)=0.353220   f2(x)=0.839919
f1(x)=0.810480   f2(x)=0.406417
f1(x)=0.181658   f2(x)=0.910161
f1(x)=0.546058   f2(x)=0.710273
f1(x)=0.584528   f2(x)=0.678062
f1(x)=0.862678   f2(x)=0.300982
f1(x)=0.411386   f2(x)=0.804178
f1(x)=0.371882   f2(x)=0.826932
f1(x)=0.936444   f2(x)=0.120971
f1(x)=0.104057   f2(x)=0.943464
f1(x)=0.405940   f2(x)=0.807415
f1(x)=0.246989   f2(x)=0.884628
f1(x)=0.668251   f2(x)=0.595822
f1(x)=0.021110   f2(x)=0.969016
f1(x)=0.323207   f2(x)=0.849162
f1(x)=0.321397   f2(x)=0.854341
f1(x)=0.459512   f2(x)=0.779286
f1(x)=0.281643   f2(x)=0.872660
f1(x)=0.019312   f2(x)=0.971162
f1(x)=0.570095   f2(x)=0.696293
f1(x)=0.860067   f2(x)=0.307933
f1(x)=0.579413   f2(x)=0.686759
f1(x)=0.465667   f2(x)=0.771579
f1(x)=0.892177   f2(x)=0.228776
