f1(x)=-15.078840   f2(x)=-9.832617
f1(x)=-19.075270   f2(x)=0.000114
f1(x)=-19.995815   f2(x)=0.008294
f1(x)=-14.472593   f2(x)=-11.614633
f1(x)=-17.938183   f2(x)=-3.875360
f1(x)=-17.042279   f2(x)=-3.880126
f1(x)=-19.081528   f2(x)=0.000553
f1(x)=-16.201133   f2(x)=-7.007102
f1(x)=-16.303913   f2(x)=-6.655038
f1(x)=-15.876441   f2(x)=-7.750430
f1(x)=-15.632519   f2(x)=-7.763963
f1(x)=-18.924818   f2(x)=-0.276089
f1(x)=-14.957627   f2(x)=-10.358942
f1(x)=-16.512005   f2(x)=-5.682024
f1(x)=-18.777753   f2(x)=-0.648457
f1(x)=-18.607316   f2(x)=-1.242759
f1(x)=-18.170437   f2(x)=-3.192592
f1(x)=-18.720852   f2(x)=-0.834612
f1(x)=-18.531242   f2(x)=-1.557072
f1(x)=-16.123321   f2(x)=-7.364385
f1(x)=-18.234735   f2(x)=-2.976696
f1(x)=-18.566348   f2(x)=-1.414377
f1(x)=-18.422532   f2(x)=-2.061120
f1(x)=-15.365404   f2(x)=-8.659879
f1(x)=-18.475742   f2(x)=-1.810172
f1(x)=-18.655424   f2(x)=-1.061129
f1(x)=-18.841780   f2(x)=-0.470975
f1(x)=-16.480714   f2(x)=-5.908829
f1(x)=-14.912185   f2(x)=-10.536709
f1(x)=-15.013835   f2(x)=-10.152482
f1(x)=-15.107331   f2(x)=-9.727938
f1(x)=-18.988206   f2(x)=-0.147393
f1(x)=-16.620363   f2(x)=-5.202584
f1(x)=-16.596195   f2(x)=-5.336835
f1(x)=-18.378528   f2(x)=-2.268283
f1(x)=-18.350524   f2(x)=-2.416218
f1(x)=-16.418500   f2(x)=-6.143792
f1(x)=-15.148491   f2(x)=-9.558818
f1(x)=-15.274037   f2(x)=-9.039145
f1(x)=-14.827286   f2(x)=-10.861662
f1(x)=-15.401395   f2(x)=-8.544644
f1(x)=-16.792451   f2(x)=-4.469090
f1(x)=-18.486711   f2(x)=-1.736830
f1(x)=-18.323848   f2(x)=-2.547076
f1(x)=-18.100401   f2(x)=-3.554221
f1(x)=-14.536341   f2(x)=-11.550368
f1(x)=-16.459137   f2(x)=-6.012960
f1(x)=-18.684781   f2(x)=-0.948722
f1(x)=-14.666926   f2(x)=-11.305946
f1(x)=-16.653784   f2(x)=-5.046740
f1(x)=-15.060924   f2(x)=-9.952013
f1(x)=-14.578518   f2(x)=-11.468524
f1(x)=-14.626260   f2(x)=-11.384148
f1(x)=-18.297342   f2(x)=-2.673596
f1(x)=-16.702124   f2(x)=-4.832739
f1(x)=-16.347425   f2(x)=-6.530233
f1(x)=-16.846986   f2(x)=-4.278420
f1(x)=-16.764700   f2(x)=-4.582912
f1(x)=-14.849345   f2(x)=-10.739251
f1(x)=-15.321548   f2(x)=-8.836735
f1(x)=-14.883129   f2(x)=-10.643540
f1(x)=-18.128254   f2(x)=-3.422222
f1(x)=-19.027960   f2(x)=-0.077507
f1(x)=-18.005177   f2(x)=-3.813058
f1(x)=-18.141098   f2(x)=-3.306631
f1(x)=-14.780076   f2(x)=-10.971104
f1(x)=-15.539104   f2(x)=-7.990895
f1(x)=-16.676811   f2(x)=-4.964052
f1(x)=-15.948240   f2(x)=-7.681179
f1(x)=-18.827117   f2(x)=-0.514801
f1(x)=-16.064961   f2(x)=-7.482928
f1(x)=-16.829622   f2(x)=-4.349554
f1(x)=-15.309007   f2(x)=-8.876191
f1(x)=-16.553374   f2(x)=-5.512220
f1(x)=-18.408233   f2(x)=-2.132145
f1(x)=-15.026527   f2(x)=-10.078696
f1(x)=-16.933054   f2(x)=-4.085160
f1(x)=-14.715625   f2(x)=-11.208094
f1(x)=-15.522342   f2(x)=-8.089353
f1(x)=-16.389646   f2(x)=-6.259465
f1(x)=-16.168015   f2(x)=-7.218676
f1(x)=-15.467434   f2(x)=-8.234152
f1(x)=-15.203775   f2(x)=-9.138834
f1(x)=-15.173655   f2(x)=-9.477983
f1(x)=-16.177152   f2(x)=-7.190758
f1(x)=-14.768596   f2(x)=-11.055910
f1(x)=-15.975428   f2(x)=-7.645769
f1(x)=-18.273514   f2(x)=-2.789406
f1(x)=-16.904004   f2(x)=-4.158533
f1(x)=-15.426726   f2(x)=-8.413820
f1(x)=-16.561074   f2(x)=-5.483895
f1(x)=-15.444570   f2(x)=-8.369440
f1(x)=-14.731587   f2(x)=-11.148737
f1(x)=-15.476772   f2(x)=-8.153000
f1(x)=-15.201512   f2(x)=-9.318094
f1(x)=-15.249051   f2(x)=-9.135645
f1(x)=-15.593517   f2(x)=-7.877177
f1(x)=-18.064835   f2(x)=-3.657982
f1(x)=-15.586063   f2(x)=-7.906801
f1(x)=-16.977241   f2(x)=-3.986353
