f1(x)=3.591711   f2(x)=1.742211
f1(x)=7.938329   f2(x)=0.707252
f1(x)=1.000029   f2(x)=24.983016
f1(x)=16.755201   f2(x)=0.000002
f1(x)=2.064437   f2(x)=20.881914
f1(x)=2.067348   f2(x)=3.134878
f1(x)=7.414504   f2(x)=0.792857
f1(x)=6.903609   f2(x)=0.882898
f1(x)=12.210950   f2(x)=0.186684
f1(x)=6.133768   f2(x)=1.032831
f1(x)=3.256568   f2(x)=1.886024
f1(x)=9.840839   f2(x)=0.440570
f1(x)=1.007753   f2(x)=24.556373
f1(x)=1.388987   f2(x)=22.266046
f1(x)=15.650669   f2(x)=0.006896
f1(x)=2.667668   f2(x)=2.215897
f1(x)=4.924544   f2(x)=1.315205
f1(x)=6.554074   f2(x)=0.948652
f1(x)=1.284649   f2(x)=22.591628
f1(x)=13.601931   f2(x)=0.077922
f1(x)=12.926951   f2(x)=0.149503
f1(x)=11.881255   f2(x)=0.217231
f1(x)=13.197465   f2(x)=0.105387
f1(x)=4.033228   f2(x)=1.637370
f1(x)=8.558701   f2(x)=0.613052
f1(x)=1.779355   f2(x)=21.373338
f1(x)=1.464250   f2(x)=22.058183
f1(x)=1.026304   f2(x)=24.140030
f1(x)=2.256857   f2(x)=2.607965
f1(x)=8.070561   f2(x)=0.686410
f1(x)=3.787760   f2(x)=1.668821
f1(x)=14.203396   f2(x)=0.042508
f1(x)=9.118513   f2(x)=0.534362
f1(x)=11.571561   f2(x)=0.247348
f1(x)=12.538888   f2(x)=0.157907
f1(x)=16.472297   f2(x)=0.000478
f1(x)=1.075447   f2(x)=23.627923
f1(x)=14.551612   f2(x)=0.028096
f1(x)=5.256740   f2(x)=1.230534
f1(x)=11.390891   f2(x)=0.265543
f1(x)=2.435915   f2(x)=2.400744
f1(x)=1.231325   f2(x)=22.777786
f1(x)=2.911504   f2(x)=2.062571
f1(x)=6.726532   f2(x)=0.916934
f1(x)=1.680700   f2(x)=21.565168
f1(x)=1.050577   f2(x)=23.940050
f1(x)=10.144496   f2(x)=0.403554
f1(x)=15.366474   f2(x)=0.011269
f1(x)=16.114418   f2(x)=0.002209
f1(x)=1.907531   f2(x)=21.222085
f1(x)=11.196222   f2(x)=0.285658
f1(x)=4.371414   f2(x)=1.472155
f1(x)=16.350374   f2(x)=0.001674
f1(x)=14.378958   f2(x)=0.037735
f1(x)=10.695202   f2(x)=0.339864
f1(x)=12.526763   f2(x)=0.158941
f1(x)=2.772195   f2(x)=2.146390
f1(x)=14.769188   f2(x)=0.022252
f1(x)=15.867610   f2(x)=0.004392
f1(x)=11.774932   f2(x)=0.227418
f1(x)=10.825140   f2(x)=0.325467
f1(x)=13.900445   f2(x)=0.058685
f1(x)=8.837963   f2(x)=0.573106
f1(x)=2.405334   f2(x)=2.429729
f1(x)=4.167056   f2(x)=1.541608
f1(x)=7.838071   f2(x)=0.723044
f1(x)=8.843757   f2(x)=0.572313
f1(x)=8.328427   f2(x)=0.647079
f1(x)=4.562842   f2(x)=1.415269
f1(x)=12.979251   f2(x)=0.121957
f1(x)=1.185151   f2(x)=23.058361
f1(x)=15.091902   f2(x)=0.015485
f1(x)=9.421791   f2(x)=0.494876
f1(x)=3.048013   f2(x)=1.988245
f1(x)=6.004114   f2(x)=1.060047
f1(x)=13.976457   f2(x)=0.054362
f1(x)=15.285162   f2(x)=0.012178
f1(x)=1.000412   f2(x)=24.941484
f1(x)=3.128606   f2(x)=1.947158
f1(x)=7.655580   f2(x)=0.791266
f1(x)=1.622324   f2(x)=21.714547
f1(x)=2.169056   f2(x)=2.735518
f1(x)=9.220134   f2(x)=0.520679
f1(x)=10.496459   f2(x)=0.362346
f1(x)=1.564557   f2(x)=21.851167
f1(x)=2.083489   f2(x)=3.004751
f1(x)=2.127893   f2(x)=2.823883
f1(x)=13.418924   f2(x)=0.089500
f1(x)=15.983940   f2(x)=0.003174
f1(x)=4.259963   f2(x)=1.506710
f1(x)=5.764623   f2(x)=1.112052
f1(x)=3.658188   f2(x)=1.716149
f1(x)=1.152645   f2(x)=23.120109
f1(x)=10.999922   f2(x)=0.306477
f1(x)=1.954993   f2(x)=21.069853
f1(x)=9.629905   f2(x)=0.468305
f1(x)=8.419415   f2(x)=0.633513
f1(x)=4.750330   f2(x)=1.362279
f1(x)=9.637579   f2(x)=0.466128
f1(x)=14.885480   f2(x)=0.019558
