f1(x)=0.134483   f2(x)=2.667608
f1(x)=2.900742   f2(x)=0.088116
f1(x)=0.000000   f2(x)=4.000097
f1(x)=3.999765   f2(x)=0.000000
f1(x)=0.868014   f2(x)=1.141323
f1(x)=3.567336   f2(x)=0.012379
f1(x)=0.774450   f2(x)=1.254336
f1(x)=3.797855   f2(x)=0.002621
f1(x)=0.009584   f2(x)=3.617983
f1(x)=3.688452   f2(x)=0.006315
f1(x)=1.927173   f2(x)=0.374267
f1(x)=0.025101   f2(x)=3.391373
f1(x)=0.234877   f2(x)=2.296312
f1(x)=2.101760   f2(x)=0.302781
f1(x)=0.692077   f2(x)=1.364431
f1(x)=0.042605   f2(x)=3.216965
f1(x)=0.316034   f2(x)=2.067357
f1(x)=0.594374   f2(x)=1.510547
f1(x)=2.522634   f2(x)=0.169513
f1(x)=0.107680   f2(x)=2.795095
f1(x)=0.203608   f2(x)=2.398691
f1(x)=3.433965   f2(x)=0.021581
f1(x)=0.003637   f2(x)=3.762398
f1(x)=0.006184   f2(x)=3.691640
f1(x)=0.252126   f2(x)=2.243641
f1(x)=2.199979   f2(x)=0.267049
f1(x)=0.017745   f2(x)=3.484904
f1(x)=1.834312   f2(x)=0.416841
f1(x)=0.930571   f2(x)=1.071927
f1(x)=1.729988   f2(x)=0.468828
f1(x)=3.189627   f2(x)=0.045816
f1(x)=0.340963   f2(x)=2.005280
f1(x)=0.448018   f2(x)=1.770652
f1(x)=0.159634   f2(x)=2.561464
f1(x)=0.438028   f2(x)=1.790681
f1(x)=0.404786   f2(x)=1.859873
f1(x)=3.085587   f2(x)=0.059251
f1(x)=0.088600   f2(x)=2.897968
f1(x)=1.377431   f2(x)=0.682871
f1(x)=1.162610   f2(x)=0.849634
f1(x)=0.641175   f2(x)=1.438239
f1(x)=1.423058   f2(x)=0.651378
f1(x)=0.644222   f2(x)=1.433685
f1(x)=0.174184   f2(x)=2.504770
f1(x)=2.383468   f2(x)=0.208074
f1(x)=1.623158   f2(x)=0.527029
f1(x)=0.072951   f2(x)=2.992573
f1(x)=2.607350   f2(x)=0.148434
f1(x)=2.321710   f2(x)=0.226847
f1(x)=0.485219   f2(x)=1.698912
f1(x)=0.286281   f2(x)=2.146072
f1(x)=0.001624   f2(x)=3.840406
f1(x)=0.367515   f2(x)=1.942595
f1(x)=1.258240   f2(x)=0.771388
f1(x)=3.775181   f2(x)=0.003251
f1(x)=0.555580   f2(x)=1.574091
f1(x)=0.051075   f2(x)=3.147085
f1(x)=1.290861   f2(x)=0.746219
f1(x)=1.059186   f2(x)=0.942515
f1(x)=0.272066   f2(x)=2.185668
f1(x)=0.962773   f2(x)=1.037933
f1(x)=3.296325   f2(x)=0.034011
f1(x)=3.334763   f2(x)=0.030230
f1(x)=0.728427   f2(x)=1.314509
f1(x)=2.819620   f2(x)=0.102930
f1(x)=2.416604   f2(x)=0.198432
f1(x)=0.489530   f2(x)=1.690873
f1(x)=0.062306   f2(x)=3.063859
f1(x)=0.567418   f2(x)=1.554332
f1(x)=1.561871   f2(x)=0.562878
f1(x)=2.291891   f2(x)=0.236294
f1(x)=0.525547   f2(x)=1.625763
f1(x)=1.983581   f2(x)=0.349994
f1(x)=1.515035   f2(x)=0.591565
f1(x)=0.146462   f2(x)=2.615648
f1(x)=1.452167   f2(x)=0.631931
f1(x)=1.322162   f2(x)=0.722750
f1(x)=1.639110   f2(x)=0.518001
f1(x)=1.347538   f2(x)=0.704198
f1(x)=1.227384   f2(x)=0.795889
f1(x)=3.236153   f2(x)=0.040429
f1(x)=0.101833   f2(x)=2.825379
f1(x)=1.022560   f2(x)=0.977692
f1(x)=2.792280   f2(x)=0.108233
f1(x)=1.997865   f2(x)=0.344031
f1(x)=0.356502   f2(x)=1.968189
f1(x)=2.959131   f2(x)=0.078281
f1(x)=0.751892   f2(x)=1.283423
f1(x)=3.395465   f2(x)=0.024750
f1(x)=0.091339   f2(x)=2.882447
f1(x)=2.737130   f2(x)=0.119420
f1(x)=0.391494   f2(x)=1.888715
f1(x)=0.071566   f2(x)=3.001493
f1(x)=0.525621   f2(x)=1.625632
f1(x)=0.185519   f2(x)=2.462644
f1(x)=1.195371   f2(x)=0.822050
f1(x)=0.043365   f2(x)=3.210391
f1(x)=2.244941   f2(x)=0.251690
f1(x)=3.021985   f2(x)=0.068442
f1(x)=0.000186   f2(x)=3.945674
