f1(x)=0.189549   f2(x)=0.631103
f1(x)=0.205156   f2(x)=0.519159
f1(x)=0.851998   f2(x)=-0.769763
f1(x)=0.000000   f2(x)=1.006339
f1(x)=0.652487   f2(x)=-0.454291
f1(x)=0.823320   f2(x)=-0.454340
f1(x)=0.618468   f2(x)=-0.121331
f1(x)=0.453862   f2(x)=-0.119825
f1(x)=0.257717   f2(x)=0.247149
f1(x)=0.409301   f2(x)=0.246910
f1(x)=0.083047   f2(x)=0.675390
f1(x)=0.182166   f2(x)=0.675337
f1(x)=0.624410   f2(x)=-0.219282
f1(x)=0.003432   f2(x)=0.947706
f1(x)=0.840209   f2(x)=-0.713747
f1(x)=0.062544   f2(x)=0.698123
f1(x)=0.006737   f2(x)=0.923046
f1(x)=0.424332   f2(x)=0.059495
f1(x)=0.211023   f2(x)=0.474187
f1(x)=0.421283   f2(x)=0.094340
f1(x)=0.000756   f2(x)=0.979242
f1(x)=0.412679   f2(x)=0.202149
f1(x)=0.073322   f2(x)=0.680608
f1(x)=0.024674   f2(x)=0.831808
f1(x)=0.411323   f2(x)=0.220011
f1(x)=0.842453   f2(x)=-0.733113
f1(x)=0.845691   f2(x)=-0.753969
f1(x)=0.833429   f2(x)=-0.632268
f1(x)=0.232644   f2(x)=0.323930
f1(x)=0.824733   f2(x)=-0.482748
f1(x)=0.198522   f2(x)=0.568964
f1(x)=0.010639   f2(x)=0.899696
f1(x)=0.643697   f2(x)=-0.429313
f1(x)=0.826991   f2(x)=-0.525844
f1(x)=0.417623   f2(x)=0.138761
f1(x)=0.831385   f2(x)=-0.601338
f1(x)=0.237883   f2(x)=0.296468
f1(x)=0.430867   f2(x)=-0.007156
f1(x)=0.022099   f2(x)=0.843511
f1(x)=0.202538   f2(x)=0.539137
f1(x)=0.242833   f2(x)=0.275567
f1(x)=0.631922   f2(x)=-0.323629
f1(x)=0.639208   f2(x)=-0.398262
f1(x)=0.215580   f2(x)=0.439539
f1(x)=0.057136   f2(x)=0.711227
f1(x)=0.827308   f2(x)=-0.531731
f1(x)=0.829523   f2(x)=-0.570775
f1(x)=0.231084   f2(x)=0.332922
f1(x)=0.434276   f2(x)=-0.036814
f1(x)=0.248835   f2(x)=0.257538
f1(x)=0.836895   f2(x)=-0.678157
f1(x)=0.043629   f2(x)=0.754379
f1(x)=0.221245   f2(x)=0.397807
f1(x)=0.414972   f2(x)=0.172388
f1(x)=0.626663   f2(x)=-0.253217
f1(x)=0.415376   f2(x)=0.167122
f1(x)=0.030083   f2(x)=0.808296
f1(x)=0.835211   f2(x)=-0.656860
f1(x)=0.445290   f2(x)=-0.103177
f1(x)=0.438051   f2(x)=-0.064953
f1(x)=0.634366   f2(x)=-0.351757
f1(x)=0.053064   f2(x)=0.722788
f1(x)=0.428756   f2(x)=0.012969
f1(x)=0.627854   f2(x)=-0.270165
f1(x)=0.209283   f2(x)=0.487522
f1(x)=0.641544   f2(x)=-0.415954
f1(x)=0.227277   f2(x)=0.356660
f1(x)=0.017698   f2(x)=0.863930
f1(x)=0.205843   f2(x)=0.513890
f1(x)=0.622554   f2(x)=-0.190036
f1(x)=0.830662   f2(x)=-0.589782
f1(x)=0.447775   f2(x)=-0.111334
f1(x)=0.621983   f2(x)=-0.180719
f1(x)=0.035497   f2(x)=0.785810
f1(x)=0.187382   f2(x)=0.644751
f1(x)=0.190333   f2(x)=0.626011
f1(x)=0.409302   f2(x)=0.246906
f1(x)=0.441745   f2(x)=-0.087127
f1(x)=0.418709   f2(x)=0.125297
f1(x)=0.636773   f2(x)=-0.376494
f1(x)=0.629680   f2(x)=-0.295115
f1(x)=0.033490   f2(x)=0.794070
f1(x)=0.634610   f2(x)=-0.354455
f1(x)=0.049955   f2(x)=0.732542
f1(x)=0.218277   f2(x)=0.419459
f1(x)=0.440759   f2(x)=-0.081624
f1(x)=0.432877   f2(x)=-0.025152
f1(x)=0.251953   f2(x)=0.251644
f1(x)=0.039805   f2(x)=0.768786
f1(x)=0.834423   f2(x)=-0.646235
f1(x)=0.000077   f2(x)=0.998029
f1(x)=0.014340   f2(x)=0.880395
f1(x)=0.620752   f2(x)=-0.160423
f1(x)=0.013125   f2(x)=0.886504
f1(x)=0.637133   f2(x)=-0.379935
f1(x)=0.850113   f2(x)=-0.768457
f1(x)=0.185692   f2(x)=0.655050
f1(x)=0.038765   f2(x)=0.772870
f1(x)=0.078299   f2(x)=0.676635
f1(x)=0.193168   f2(x)=0.606904
